doi,doi_url,title
10.1002/mrm.30627,https://doi.org/10.1002/mrm.30627,"Controlling sharpness, SNR, and specific absorption rate for 3D fast‐spin echo at 7T by end‐to‐end learning"
10.1002/mrm.30425,https://doi.org/10.1002/mrm.30425,Phantom‐based gradient waveform measurements with compensated variable‐prephasing: Description and application to <scp>EPI</scp> at <scp>7 T</scp>
10.1002/mrm.30559,https://doi.org/10.1002/mrm.30559,"Improving
                    <scp>quantitative BOLD</scp>
                    –based measures of oxygen extraction fraction using hyperoxia
                    <scp>BOLD</scp>
                    –derived measures of blood volume"
10.1002/mrm.70056,https://doi.org/10.1002/mrm.70056,Cerebellar imaging for neuroscience at 9.<scp>4 T</scp>
10.1002/mrm.30558,https://doi.org/10.1002/mrm.30558,High‐resolution and high‐fidelity diffusion tensor imaging of cervical spinal cord using 3D reduced‐FOV multiplexed sensitivity encoding (3D‐rFOV‐MUSE)
10.1002/mrm.70059,https://doi.org/10.1002/mrm.70059,Impact of simultaneous exposure to RF and gradient electromagnetic fields on implant MR safety labeling
10.1002/mrm.30462,https://doi.org/10.1002/mrm.30462,"Chemical shift and relaxation regularization improve the accuracy of
                    <sup>1</sup>
                    H MR spectroscopy analysis"
10.1002/mrm.70157,https://doi.org/10.1002/mrm.70157,Gadolinium Pollution—A Future Forward Perspective on Human and Environmental Impact
10.1002/mrm.70073,https://doi.org/10.1002/mrm.70073,Combined angiography and perfusion using radial imaging and arterial spin labeling with structural contrast
10.1002/mrm.70011,https://doi.org/10.1002/mrm.70011,A size‐adaptive RF coil for MRI of the pediatric human brain at 7 T
10.1002/mrm.30485,https://doi.org/10.1002/mrm.30485,Toward optimal inline respiratory motion correction for in vivo cardiac diffusion tensor MRI using symmetric and inverse‐consistent deformable image registration
10.1002/mrm.30622,https://doi.org/10.1002/mrm.30622,"Simultaneous liver <scp>T<sub>1</sub></scp>, <scp>T<sub>2</sub></scp>, and <scp>ADC</scp> MR fingerprinting using optimized motion‐compensated diffusion preparations: An initial validation on volunteers"
10.1002/mrm.70199,https://doi.org/10.1002/mrm.70199,Motion Corrected Subspace Reconstruction With Navigators for Quantitative High‐Resolution Spiral First‐Pass Myocardial Perfusion Imaging at 3 Tesla
10.1002/mrm.70109,https://doi.org/10.1002/mrm.70109,"Optimized
                    <scp>
                      T
                      <sub>1</sub>
                    </scp>
                    ‐weighted
                    <scp>MP</scp>
                    ‐
                    <scp>RAGE MRI</scp>
                    of the brain at 0.55 T using variable flip angle coherent gradient echo imaging and deep learning reconstruction"
10.1002/mrm.70078,https://doi.org/10.1002/mrm.70078,Revisiting signal intensity ratios for extending the dynamic range for iron overload estimation
10.1002/mrm.30591,https://doi.org/10.1002/mrm.30591,Robust multi‐coil MRI reconstruction via self‐supervised denoising
10.1002/mrm.30484,https://doi.org/10.1002/mrm.30484,Diffusion‐prepared imaging with amplitude navigation for correction of motion‐induced signal loss
10.1002/mrm.30545,https://doi.org/10.1002/mrm.30545,Quantitative muscle water <scp>T<sub>2</sub></scp> mapping using <scp>RF</scp> phase‐modulated <scp>3D</scp> gradient echo imaging
10.1002/mrm.30628,https://doi.org/10.1002/mrm.30628,Fast and High‐Resolution luminal water imaging for prostate cancer diagnosis
10.1002/mrm.30534,https://doi.org/10.1002/mrm.30534,Quantitative <scp>T<sub>2</sub></scp> mapping of lung parenchyma at 9.<scp>4 T</scp>: A feasibility study in three murine models of interstitial lung disease
10.1002/mrm.30432,https://doi.org/10.1002/mrm.30432,Three‐dimensional whole‐body imaging of the bioreduction and clearance of nitroxide probes in the thoracic and abdominal regions of mice using a compact and mobile electron paramagnetic resonance imager
10.1002/mrm.70080,https://doi.org/10.1002/mrm.70080,Sampling of non‐Gaussian Ensemble Average Propagators for the simulation of diffusion magnetic resonance images
10.1002/mrm.70172,https://doi.org/10.1002/mrm.70172,Accelerated Chemical Exchange Saturation Transfer Imaging With Deep Unrolling Networks and Synthetic Brain Tumor Datasets
10.1002/mrm.70207,https://doi.org/10.1002/mrm.70207,"RF‐Shielding of Laser‐Cut Venous Stents: Calculations, Simulations, and Experiments"
